Time (ms),Device,Action,Details
1724587577689,Mouse,Move,"X: 1783, Y: 63"
1724587577790,Mouse,Move,"X: 1783, Y: 63"
1724587577891,Mouse,Move,"X: 1783, Y: 63"
1724587577992,Mouse,Move,"X: 1783, Y: 63"
1724587578092,Mouse,Move,"X: 1783, Y: 63"
1724587578192,Mouse,Move,"X: 1783, Y: 63"
1724587578292,Mouse,Move,"X: 1783, Y: 63"
1724587578393,Mouse,Move,"X: 1783, Y: 63"
1724587578494,Mouse,Move,"X: 1783, Y: 63"
1724587578594,Mouse,Move,"X: 1783, Y: 63"
1724587578695,Mouse,Move,"X: 1783, Y: 63"
1724587578796,Mouse,Move,"X: 1783, Y: 63"
1724587578896,Mouse,Move,"X: 1783, Y: 63"
1724587578997,Mouse,Move,"X: 1783, Y: 63"
1724587579098,Mouse,Move,"X: 1783, Y: 63"
1724587579199,Mouse,Move,"X: 1783, Y: 63"
1724587579299,Mouse,Move,"X: 1783, Y: 63"
1724587579400,Mouse,Move,"X: 1783, Y: 63"
1724587579502,Mouse,Move,"X: 1783, Y: 63"
1724587579602,Mouse,Move,"X: 1783, Y: 63"
1724587579702,Mouse,Move,"X: 1783, Y: 63"
1724587579802,Mouse,Move,"X: 1783, Y: 63"
1724587579903,Mouse,Move,"X: 1783, Y: 63"
1724587580003,Mouse,Move,"X: 1783, Y: 63"
1724587580103,Mouse,Move,"X: 1783, Y: 63"
1724587580204,Mouse,Move,"X: 1783, Y: 63"
1724587580305,Mouse,Move,"X: 1783, Y: 63"
1724587580406,Mouse,Move,"X: 1783, Y: 63"
1724587580507,Mouse,Move,"X: 1783, Y: 63"
1724587580607,Mouse,Move,"X: 1783, Y: 63"
1724587580708,Mouse,Move,"X: 1783, Y: 63"
1724587580809,Mouse,Move,"X: 1783, Y: 63"
1724587580910,Mouse,Move,"X: 1783, Y: 63"
1724587581011,Mouse,Move,"X: 1783, Y: 63"
1724587581112,Mouse,Move,"X: 1783, Y: 63"
1724587581212,Mouse,Move,"X: 1783, Y: 63"
1724587581313,Mouse,Move,"X: 1783, Y: 63"
1724587581413,Mouse,Move,"X: 1783, Y: 63"
1724587581514,Mouse,Move,"X: 1783, Y: 63"
1724587581614,Mouse,Move,"X: 1783, Y: 63"
1724587581715,Mouse,Move,"X: 1783, Y: 63"
1724587581816,Mouse,Move,"X: 1783, Y: 63"
1724587581916,Mouse,Move,"X: 1783, Y: 63"
1724587582017,Mouse,Move,"X: 1783, Y: 63"
1724587582117,Mouse,Move,"X: 1783, Y: 63"
1724587582217,Mouse,Move,"X: 1783, Y: 63"
1724587582318,Mouse,Move,"X: 1783, Y: 63"
1724587582418,Mouse,Move,"X: 1780, Y: 64"
1724587582519,Mouse,Move,"X: 662, Y: 387"
1724587582620,Mouse,Move,"X: 275, Y: 434"
1724587582720,Mouse,Move,"X: 261, Y: 430"
1724587582820,Mouse,Move,"X: 280, Y: 404"
1724587582920,Mouse,Move,"X: 309, Y: 384"
1724587583021,Mouse,Move,"X: 309, Y: 384"
1724587583122,Mouse,Move,"X: 309, Y: 384"
1724587583223,Mouse,Move,"X: 309, Y: 384"
1724587583323,Mouse,Move,"X: 309, Y: 384"
1724587583424,Mouse,Move,"X: 309, Y: 384"
1724587583524,Mouse,Move,"X: 309, Y: 384"
1724587583625,Mouse,Move,"X: 309, Y: 384"
1724587583726,Mouse,Move,"X: 309, Y: 384"
1724587583773,Mouse,Click,Left
1724587583826,Mouse,Move,"X: 309, Y: 384"
1724587583927,Mouse,Move,"X: 309, Y: 384"
1724587584028,Mouse,Move,"X: 309, Y: 384"
1724587584128,Mouse,Move,"X: 309, Y: 384"
1724587584229,Mouse,Move,"X: 309, Y: 383"
1724587584330,Mouse,Move,"X: 309, Y: 383"
1724587584431,Mouse,Move,"X: 309, Y: 383"
1724587584532,Mouse,Move,"X: 309, Y: 383"
1724587584632,Mouse,Move,"X: 306, Y: 412"
1724587584733,Mouse,Move,"X: 300, Y: 435"
1724587584833,Mouse,Move,"X: 300, Y: 463"
1724587584934,Mouse,Move,"X: 300, Y: 471"
1724587585034,Mouse,Move,"X: 300, Y: 471"
1724587585135,Mouse,Move,"X: 300, Y: 471"
1724587585236,Mouse,Move,"X: 300, Y: 471"
1724587585337,Mouse,Move,"X: 300, Y: 471"
1724587585437,Mouse,Move,"X: 300, Y: 471"
1724587585537,Mouse,Move,"X: 300, Y: 471"
1724587585638,Mouse,Move,"X: 300, Y: 471"
1724587585738,Mouse,Move,"X: 300, Y: 471"
1724587585839,Mouse,Move,"X: 300, Y: 471"
1724587585939,Mouse,Move,"X: 300, Y: 471"
1724587586040,Mouse,Move,"X: 300, Y: 471"
1724587586140,Mouse,Move,"X: 300, Y: 471"
1724587586241,Mouse,Move,"X: 300, Y: 471"
1724587586342,Mouse,Move,"X: 300, Y: 471"
1724587586431,Mouse,Click,Left
1724587586443,Mouse,Move,"X: 300, Y: 471"
1724587586543,Mouse,Move,"X: 300, Y: 471"
1724587586643,Mouse,Move,"X: 300, Y: 471"
1724587586744,Mouse,Move,"X: 300, Y: 471"
1724587586844,Mouse,Move,"X: 301, Y: 471"
1724587586945,Mouse,Move,"X: 489, Y: 399"
1724587587045,Mouse,Move,"X: 578, Y: 300"
1724587587146,Mouse,Move,"X: 610, Y: 149"
1724587587247,Mouse,Move,"X: 612, Y: 88"
1724587587347,Mouse,Move,"X: 614, Y: 74"
1724587587448,Mouse,Move,"X: 614, Y: 74"
1724587587548,Mouse,Move,"X: 614, Y: 74"
1724587587648,Mouse,Move,"X: 614, Y: 74"
1724587587749,Mouse,Move,"X: 614, Y: 74"
1724587587849,Mouse,Move,"X: 614, Y: 74"
1724587587893,Mouse,Click,Left
1724587587949,Mouse,Move,"X: 614, Y: 74"
1724587588050,Mouse,Move,"X: 614, Y: 74"
1724587588151,Mouse,Move,"X: 629, Y: 241"
1724587588252,Mouse,Move,"X: 779, Y: 698"
1724587588353,Mouse,Move,"X: 825, Y: 832"
1724587588454,Mouse,Move,"X: 864, Y: 935"
1724587588555,Mouse,Move,"X: 846, Y: 954"
1724587588655,Mouse,Move,"X: 842, Y: 966"
1724587588755,Mouse,Move,"X: 842, Y: 972"
1724587588855,Mouse,Move,"X: 850, Y: 975"
1724587588956,Mouse,Move,"X: 870, Y: 993"
1724587589057,Mouse,Move,"X: 870, Y: 993"
1724587589158,Mouse,Move,"X: 870, Y: 993"
1724587589258,Mouse,Move,"X: 870, Y: 993"
1724587589359,Mouse,Move,"X: 870, Y: 993"
1724587589460,Mouse,Move,"X: 870, Y: 993"
1724587589561,Mouse,Move,"X: 870, Y: 993"
1724587589577,Mouse,Click,Left
1724587589662,Mouse,Move,"X: 870, Y: 993"
1724587589762,Mouse,Move,"X: 870, Y: 993"
1724587589862,Mouse,Move,"X: 870, Y: 993"
1724587589963,Mouse,Move,"X: 870, Y: 993"
1724587590064,Mouse,Move,"X: 870, Y: 993"
1724587590165,Mouse,Move,"X: 870, Y: 993"
1724587590266,Mouse,Move,"X: 870, Y: 993"
1724587590367,Mouse,Move,"X: 877, Y: 1008"
1724587590468,Mouse,Move,"X: 877, Y: 1015"
1724587590568,Mouse,Move,"X: 837, Y: 1033"
1724587590669,Mouse,Move,"X: 764, Y: 1053"
1724587590770,Mouse,Move,"X: 757, Y: 1055"
1724587590870,Mouse,Move,"X: 757, Y: 1055"
1724587590971,Mouse,Move,"X: 836, Y: 1060"
1724587591072,Mouse,Move,"X: 968, Y: 1064"
1724587591172,Mouse,Move,"X: 969, Y: 1064"
1724587591272,Mouse,Move,"X: 929, Y: 1054"
1724587591373,Mouse,Move,"X: 922, Y: 1055"
1724587591474,Mouse,Move,"X: 910, Y: 1061"
1724587591574,Mouse,Move,"X: 903, Y: 1065"
1724587591675,Mouse,Move,"X: 894, Y: 1065"
1724587591776,Mouse,Move,"X: 909, Y: 1068"
1724587591876,Mouse,Move,"X: 926, Y: 1072"
1724587591977,Mouse,Move,"X: 926, Y: 1072"
1724587592078,Mouse,Move,"X: 926, Y: 1072"
1724587592179,Mouse,Move,"X: 926, Y: 1072"
1724587592279,Mouse,Move,"X: 938, Y: 1070"
1724587592380,Mouse,Move,"X: 938, Y: 1070"
1724587592458,Mouse,Click,Left
1724587592481,Mouse,Move,"X: 938, Y: 1070"
1724587592582,Mouse,Move,"X: 938, Y: 1070"
1724587592683,Mouse,Move,"X: 938, Y: 1070"
1724587592784,Mouse,Move,"X: 940, Y: 860"
1724587592884,Mouse,Move,"X: 1065, Y: 562"
1724587592985,Mouse,Move,"X: 1071, Y: 560"
1724587593085,Mouse,Move,"X: 1085, Y: 653"
1724587593186,Mouse,Move,"X: 1070, Y: 791"
1724587593286,Mouse,Move,"X: 1074, Y: 805"
1724587593387,Mouse,Move,"X: 1086, Y: 810"
1724587593488,Mouse,Move,"X: 1086, Y: 810"
1724587593588,Mouse,Move,"X: 1086, Y: 810"
1724587593689,Mouse,Move,"X: 1087, Y: 787"
1724587593790,Mouse,Move,"X: 1050, Y: 741"
1724587593890,Mouse,Move,"X: 1050, Y: 741"
1724587593990,Mouse,Move,"X: 1050, Y: 741"
1724587594091,Mouse,Move,"X: 1050, Y: 741"
1724587594192,Mouse,Move,"X: 1050, Y: 741"
1724587594293,Mouse,Move,"X: 1050, Y: 740"
1724587594393,Mouse,Move,"X: 1016, Y: 723"
1724587594494,Mouse,Move,"X: 1016, Y: 723"
1724587594595,Mouse,Move,"X: 1022, Y: 723"
1724587594696,Mouse,Move,"X: 1042, Y: 744"
1724587594797,Mouse,Move,"X: 1042, Y: 744"
1724587594898,Mouse,Move,"X: 1042, Y: 744"
1724587594998,Mouse,Move,"X: 1036, Y: 704"
1724587595099,Mouse,Move,"X: 1036, Y: 703"
1724587595199,Mouse,Move,"X: 1025, Y: 656"
1724587595300,Mouse,Move,"X: 1024, Y: 644"
1724587595401,Mouse,Move,"X: 1024, Y: 644"
1724587595502,Mouse,Move,"X: 1024, Y: 644"
1724587595603,Mouse,Move,"X: 1051, Y: 655"
1724587595704,Mouse,Move,"X: 1121, Y: 662"
1724587595805,Mouse,Move,"X: 1146, Y: 658"
1724587595905,Mouse,Move,"X: 1149, Y: 657"
1724587596006,Mouse,Move,"X: 1161, Y: 672"
1724587596106,Mouse,Move,"X: 1161, Y: 672"
1724587596207,Mouse,Move,"X: 1151, Y: 661"
1724587596308,Mouse,Move,"X: 1156, Y: 640"
1724587596409,Mouse,Move,"X: 1156, Y: 640"
1724587596510,Mouse,Move,"X: 1156, Y: 640"
1724587596610,Mouse,Move,"X: 1156, Y: 640"
1724587596710,Mouse,Move,"X: 1156, Y: 640"
1724587596811,Mouse,Move,"X: 1156, Y: 640"
1724587596912,Mouse,Move,"X: 1156, Y: 640"
1724587597012,Mouse,Move,"X: 1156, Y: 640"
1724587597113,Mouse,Move,"X: 1161, Y: 641"
1724587597213,Mouse,Move,"X: 1161, Y: 641"
1724587597313,Mouse,Move,"X: 1167, Y: 643"
1724587597414,Mouse,Move,"X: 1167, Y: 643"
1724587597515,Mouse,Move,"X: 1167, Y: 643"
1724587597615,Mouse,Move,"X: 1167, Y: 643"
1724587597716,Mouse,Move,"X: 1167, Y: 643"
1724587597817,Mouse,Move,"X: 1167, Y: 643"
1724587597917,Mouse,Move,"X: 1172, Y: 644"
