Time (ms),Device,Action,Details
1713544475068,Mouse,Move,"X: 653, Y: 467"
1713544475168,Mouse,Move,"X: 653, Y: 467"
1713544475269,Mouse,Move,"X: 653, Y: 467"
1713544475369,Mouse,Move,"X: 653, Y: 467"
1713544475470,Mouse,Move,"X: 653, Y: 467"
1713544475571,Mouse,Move,"X: 653, Y: 467"
1713544475671,Mouse,Move,"X: 653, Y: 467"
1713544475771,Mouse,Move,"X: 653, Y: 467"
1713544475871,Mouse,Move,"X: 653, Y: 467"
1713544475972,Mouse,Move,"X: 653, Y: 467"
1713544476072,Mouse,Move,"X: 653, Y: 466"
1713544476173,Mouse,Move,"X: 653, Y: 466"
1713544476274,Mouse,Move,"X: 653, Y: 466"
1713544476374,Mouse,Move,"X: 653, Y: 466"
1713544476475,Mouse,Move,"X: 661, Y: 462"
1713544476575,Mouse,Move,"X: 661, Y: 466"
1713544476676,Mouse,Move,"X: 661, Y: 466"
1713544476776,Mouse,Move,"X: 661, Y: 466"
1713544476876,Mouse,Move,"X: 663, Y: 462"
1713544476976,Mouse,Move,"X: 670, Y: 457"
1713544477077,Mouse,Move,"X: 680, Y: 450"
1713544477178,Mouse,Move,"X: 719, Y: 433"
1713544477279,Mouse,Move,"X: 724, Y: 431"
1713544477379,Mouse,Move,"X: 731, Y: 429"
1713544477480,Mouse,Move,"X: 731, Y: 429"
1713544477581,Mouse,Move,"X: 731, Y: 429"
1713544477682,Mouse,Move,"X: 719, Y: 436"
1713544477782,Mouse,Move,"X: 714, Y: 438"
1713544477882,Mouse,Move,"X: 714, Y: 438"
1713544477983,Mouse,Move,"X: 714, Y: 438"
1713544478084,Mouse,Move,"X: 711, Y: 439"
1713544478185,Mouse,Move,"X: 708, Y: 439"
1713544478285,Mouse,Move,"X: 699, Y: 441"
1713544478386,Mouse,Move,"X: 678, Y: 441"
1713544478487,Mouse,Move,"X: 656, Y: 441"
1713544478587,Mouse,Move,"X: 655, Y: 443"
1713544478688,Mouse,Move,"X: 655, Y: 443"
1713544478788,Mouse,Move,"X: 655, Y: 443"
1713544478889,Mouse,Move,"X: 658, Y: 441"
1713544478990,Mouse,Move,"X: 666, Y: 435"
1713544479091,Mouse,Move,"X: 668, Y: 435"
1713544479192,Mouse,Move,"X: 673, Y: 433"
1713544479292,Mouse,Move,"X: 674, Y: 433"
1713544479393,Mouse,Move,"X: 675, Y: 432"
1713544479493,Mouse,Move,"X: 699, Y: 435"
1713544479594,Mouse,Move,"X: 715, Y: 450"
1713544479694,Mouse,Move,"X: 715, Y: 450"
1713544479794,Mouse,Move,"X: 719, Y: 442"
1713544479895,Mouse,Move,"X: 720, Y: 436"
1713544479996,Mouse,Move,"X: 720, Y: 436"
1713544480097,Mouse,Move,"X: 737, Y: 428"
1713544480197,Mouse,Move,"X: 823, Y: 422"
1713544480298,Mouse,Move,"X: 824, Y: 421"
1713544480399,Mouse,Move,"X: 824, Y: 421"
1713544480500,Mouse,Move,"X: 824, Y: 421"
1713544480600,Mouse,Move,"X: 824, Y: 421"
1713544480700,Mouse,Move,"X: 806, Y: 421"
1713544480800,Mouse,Move,"X: 764, Y: 422"
1713544480902,Mouse,Move,"X: 764, Y: 422"
1713544481002,Mouse,Move,"X: 764, Y: 422"
1713544481102,Mouse,Move,"X: 760, Y: 423"
1713544481202,Mouse,Move,"X: 666, Y: 422"
1713544481304,Mouse,Move,"X: 631, Y: 422"
1713544481404,Mouse,Move,"X: 631, Y: 422"
1713544481504,Mouse,Move,"X: 631, Y: 422"
1713544481605,Mouse,Move,"X: 631, Y: 422"
1713544481706,Mouse,Move,"X: 631, Y: 422"
1713544481806,Mouse,Move,"X: 631, Y: 422"
1713544481907,Mouse,Move,"X: 631, Y: 422"
1713544482007,Mouse,Move,"X: 631, Y: 422"
1713544482108,Mouse,Move,"X: 631, Y: 422"
1713544482208,Mouse,Move,"X: 631, Y: 422"
1713544482308,Mouse,Move,"X: 631, Y: 422"
1713544482409,Mouse,Move,"X: 631, Y: 422"
1713544482510,Mouse,Move,"X: 631, Y: 422"
1713544482611,Mouse,Move,"X: 631, Y: 422"
1713544482712,Mouse,Move,"X: 631, Y: 422"
1713544482813,Mouse,Move,"X: 631, Y: 422"
1713544482914,Mouse,Move,"X: 631, Y: 422"
1713544483015,Mouse,Move,"X: 631, Y: 422"
1713544483116,Mouse,Move,"X: 631, Y: 422"
1713544483216,Mouse,Move,"X: 653, Y: 422"
1713544483316,Mouse,Move,"X: 656, Y: 423"
1713544483417,Mouse,Move,"X: 659, Y: 423"
1713544483518,Mouse,Move,"X: 665, Y: 423"
1713544483619,Mouse,Move,"X: 693, Y: 424"
1713544483720,Mouse,Move,"X: 694, Y: 424"
1713544483821,Mouse,Move,"X: 694, Y: 424"
1713544483922,Mouse,Move,"X: 694, Y: 424"
