Time (ms),Device,Action,Details
1714302799382,Keyboard,Press,Key: w
1714302799458,Keyboard,Release,Key: w
1714302799776,Keyboard,Press,Key: a
1714302800003,Keyboard,Press,Key: d
1714302800020,Keyboard,Release,Key: a
1714302800053,Keyboard,Press,Key: w
1714302800088,Keyboard,Release,Key: d
1714302800213,Keyboard,Release,Key: w
1714302800733,Keyboard,Press,Key: s
1714302800817,Keyboard,Release,Key: s
1714302860846,Keyboard,Press,Key: space
1714302860897,Keyboard,Release,Key: space
1714302861500,Keyboard,Press,Key: space
1714302861567,Keyboard,Release,Key: space
1714302862272,Keyboard,Press,Key: space
1714302862358,Keyboard,Release,Key: space
1714302930149,Keyboard,Press,Key: w
1714302930274,Keyboard,Release,Key: w
1714302933443,Keyboard,Press,Key: m
1714302933502,Keyboard,Release,Key: m
1714302938293,Keyboard,Press,Key: esc
1714302938358,Keyboard,Release,Key: esc
1714302939531,Keyboard,Press,Key: esc
1714302939572,Keyboard,Release,Key: esc
1714302944403,Keyboard,Press,Key: ctrl
1714302944421,Keyboard,Press,Key: shift
1714302944847,Keyboard,Press,Key: Z
1714302944957,Keyboard,Release,Key: Z
1714302945703,Keyboard,Release,Key: ctrl
1714302945704,Keyboard,Release,Key: shift
1714302946116,Keyboard,Press,Key: ctrl
1714302946117,Keyboard,Press,Key: shift
1714302946753,Keyboard,Press,Key: Y
1714302946851,Keyboard,Release,Key: Y
1714302947103,Keyboard,Release,Key: shift
1714302947120,Keyboard,Release,Key: ctrl
1714302948009,Keyboard,Press,Key: alt
1714302948134,Keyboard,Press,Key: z
1714302948253,Keyboard,Release,Key: z
1714302948277,Keyboard,Release,Key: alt
1714302956881,Keyboard,Press,Key: d
1714302956956,Keyboard,Press,Key: w
1714302957308,Keyboard,Release,Key: d
1714302958105,Keyboard,Press,Key: d
1714302958407,Keyboard,Release,Key: d
1714302958818,Keyboard,Press,Key: d
1714302958960,Keyboard,Release,Key: d
1714302959187,Keyboard,Press,Key: a
1714302959296,Keyboard,Release,Key: a
1714302959313,Keyboard,Release,Key: w
1714302959999,Keyboard,Press,Key: e
1714302960101,Keyboard,Release,Key: e
1714302963967,Keyboard,Press,Key: space
1714302964042,Keyboard,Release,Key: space
1714302964327,Keyboard,Press,Key: space
1714302964403,Keyboard,Release,Key: space
1714302964763,Keyboard,Press,Key: space
1714302964839,Keyboard,Release,Key: space
1714302965995,Keyboard,Press,Key: e
1714302966079,Keyboard,Release,Key: e
1714302967329,Keyboard,Press,Key: space
1714302967403,Keyboard,Release,Key: space
1714302968353,Keyboard,Press,Key: space
1714302968411,Keyboard,Release,Key: space
1714302968820,Keyboard,Press,Key: space
1714302968888,Keyboard,Release,Key: space
1714302971026,Keyboard,Press,Key: space
1714302971084,Keyboard,Release,Key: space
1714302971529,Keyboard,Press,Key: space
1714302971587,Keyboard,Release,Key: space
1714302972257,Keyboard,Press,Key: space
1714302972324,Keyboard,Release,Key: space
1714302972728,Keyboard,Press,Key: space
1714302972803,Keyboard,Release,Key: space
1714302973308,Keyboard,Press,Key: space
1714302973374,Keyboard,Release,Key: space
1714302974598,Keyboard,Press,Key: space
1714302974657,Keyboard,Release,Key: space
1714302977517,Keyboard,Press,Key: s
1714302977617,Keyboard,Release,Key: s
1714302977988,Keyboard,Press,Key: w
1714302978087,Keyboard,Release,Key: w
1714302978238,Keyboard,Press,Key: e
1714302978313,Keyboard,Release,Key: e
1714302979487,Keyboard,Press,Key: space
1714302979587,Keyboard,Release,Key: space
1714302980208,Keyboard,Press,Key: space
1714302980359,Keyboard,Release,Key: space
1714302980654,Keyboard,Press,Key: space
1714302980762,Keyboard,Release,Key: space
1714302980836,Keyboard,Press,Key: space
1714302980914,Keyboard,Release,Key: space
1714302990597,Keyboard,Press,Key: w
1714302991534,Keyboard,Press,Key: a
1714302991669,Keyboard,Release,Key: a
1714302996012,Keyboard,Release,Key: w
1714302996766,Keyboard,Press,Key: w
1714302998711,Keyboard,Release,Key: w
1714302999701,Keyboard,Press,Key: w
1714303000414,Keyboard,Release,Key: w
1714303002569,Keyboard,Press,Key: d
1714303002679,Keyboard,Press,Key: w
1714303002695,Keyboard,Release,Key: d
1714303011105,Keyboard,Press,Key: d
1714303011380,Keyboard,Release,Key: d
1714303011968,Keyboard,Press,Key: d
1714303012665,Keyboard,Release,Key: d
1714303013830,Keyboard,Press,Key: d
1714303016573,Keyboard,Release,Key: d
1714303019673,Keyboard,Press,Key: d
1714303019958,Keyboard,Release,Key: d
1714303020588,Keyboard,Press,Key: d
1714303021107,Keyboard,Release,Key: d
1714303021678,Keyboard,Press,Key: shift
1714303023329,Keyboard,Release,Key: shift
1714303040057,Keyboard,Release,Key: w
1714303040510,Keyboard,Press,Key: w
1714303048285,Keyboard,Release,Key: w
1714303049033,Keyboard,Press,Key: w
1714303049577,Keyboard,Release,Key: w
1714303050071,Keyboard,Press,Key: w
1714303050626,Keyboard,Press,Key: shift
1714303053107,Keyboard,Release,Key: shift
1714303053702,Keyboard,Press,Key: a
1714303056204,Keyboard,Release,Key: a
1714303056740,Keyboard,Press,Key: a
1714303057804,Keyboard,Release,Key: w
1714303058526,Keyboard,Press,Key: d
1714303058567,Keyboard,Release,Key: a
1714303058652,Keyboard,Press,Key: w
1714303059415,Keyboard,Press,Key: shift
1714303062620,Keyboard,Release,Key: shift
1714303062669,Keyboard,Press,Key: shift
1714303063021,Keyboard,Release,Key: shift
1714303063499,Keyboard,Press,Key: shift
1714303063692,Keyboard,Release,Key: shift
1714303064153,Keyboard,Press,Key: shift
1714303067757,Keyboard,Press,Key: D
1714303069210,Keyboard,Release,Key: D
1714303071984,Keyboard,Press,Key: D
1714303076317,Keyboard,Release,Key: D
1714303076762,Keyboard,Press,Key: D
1714303077031,Keyboard,Release,Key: D
1714303078162,Keyboard,Release,Key: shift
1714303079637,Keyboard,Press,Key: shift
1714303079678,Keyboard,Release,Key: shift
1714303080208,Keyboard,Press,Key: shift
1714303082850,Keyboard,Press,Key: D
1714303083025,Keyboard,Release,Key: D
1714303084015,Keyboard,Release,Key: shift
1714303084652,Keyboard,Release,Key: w
1714303085313,Keyboard,Press,Key: w
1714303085573,Keyboard,Release,Key: d
1714303086245,Keyboard,Press,Key: a
1714303087284,Keyboard,Release,Key: a
1714303087503,Keyboard,Release,Key: w
1714303087629,Keyboard,Press,Key: w
1714303087981,Keyboard,Release,Key: w
1714303089011,Keyboard,Press,Key: w
1714303091611,Keyboard,Release,Key: w
1714303091619,Keyboard,Press,Key: d
1714303091736,Keyboard,Release,Key: d
1714303092423,Keyboard,Press,Key: w
1714303093497,Keyboard,Press,Key: d
1714303093683,Keyboard,Release,Key: d
1714303094327,Keyboard,Release,Key: w
1714303096332,Keyboard,Press,Key: w
1714303101545,Keyboard,Press,Key: a
1714303101713,Keyboard,Release,Key: a
1714303101980,Keyboard,Press,Key: d
1714303102199,Keyboard,Release,Key: d
1714303102299,Keyboard,Press,Key: space
1714303102426,Keyboard,Release,Key: space
1714303102466,Keyboard,Press,Key: d
1714303102517,Keyboard,Press,Key: space
1714303102636,Keyboard,Release,Key: space
1714303102904,Keyboard,Release,Key: d
1714303102929,Keyboard,Release,Key: w
1714303103147,Keyboard,Press,Key: w
1714303103222,Keyboard,Release,Key: w
1714303103239,Keyboard,Press,Key: w
1714303103299,Keyboard,Press,Key: q
1714303103331,Keyboard,Release,Key: q
1714303103358,Keyboard,Release,Key: w
1714303103398,Keyboard,Press,Key: q
1714303103399,Keyboard,Press,Key: w
1714303103490,Keyboard,Release,Key: q
1714303103506,Keyboard,Release,Key: w
1714303103708,Keyboard,Press,Key: w
1714303104078,Keyboard,Release,Key: w
1714303104112,Keyboard,Press,Key: q
1714303104170,Keyboard,Release,Key: q
1714303104245,Keyboard,Press,Key: q
1714303104336,Keyboard,Release,Key: q
1714303104656,Keyboard,Press,Key: q
1714303104716,Keyboard,Press,Key: w
1714303104722,Keyboard,Release,Key: q
1714303104924,Keyboard,Press,Key: space
1714303104999,Keyboard,Release,Key: space
1714303105082,Keyboard,Press,Key: space
1714303105159,Keyboard,Release,Key: space
1714303105328,Keyboard,Press,Key: d
1714303105627,Keyboard,Release,Key: d
1714303107179,Keyboard,Release,Key: w
1714303107305,Keyboard,Press,Key: s
1714303107440,Keyboard,Press,Key: space
1714303107507,Keyboard,Release,Key: space
1714303107575,Keyboard,Press,Key: space
1714303107682,Keyboard,Release,Key: space
1714303107707,Keyboard,Press,Key: space
1714303107777,Keyboard,Press,Key: a
1714303107792,Keyboard,Release,Key: space
1714303107817,Keyboard,Release,Key: a
1714303107875,Keyboard,Press,Key: a
1714303108462,Keyboard,Release,Key: a
1714303108791,Keyboard,Press,Key: d
1714303108914,Keyboard,Press,Key: space
1714303109008,Keyboard,Release,Key: d
1714303109057,Keyboard,Release,Key: space
1714303109100,Keyboard,Press,Key: space
1714303109209,Keyboard,Release,Key: space
1714303109620,Keyboard,Release,Key: s
1714303109872,Keyboard,Press,Key: w
1714303110795,Keyboard,Press,Key: a
1714303111163,Keyboard,Press,Key: space
1714303111255,Keyboard,Release,Key: space
1714303111346,Keyboard,Press,Key: space
1714303111373,Keyboard,Release,Key: space
1714303111649,Keyboard,Release,Key: a
1714303112261,Keyboard,Press,Key: shift
1714303113183,Keyboard,Release,Key: shift
1714303113603,Keyboard,Press,Key: d
1714303114374,Keyboard,Press,Key: space
1714303114383,Keyboard,Release,Key: w
1714303114483,Keyboard,Release,Key: space
1714303114532,Keyboard,Press,Key: space
1714303114745,Keyboard,Release,Key: space
1714303115421,Keyboard,Press,Key: s
1714303115471,Keyboard,Press,Key: space
1714303115606,Keyboard,Release,Key: space
1714303115674,Keyboard,Press,Key: space
1714303115774,Keyboard,Release,Key: space
1714303116001,Keyboard,Release,Key: d
1714303116847,Keyboard,Press,Key: a
1714303116864,Keyboard,Release,Key: a
1714303116955,Keyboard,Press,Key: space
1714303117057,Keyboard,Release,Key: space
1714303117123,Keyboard,Press,Key: space
1714303117165,Keyboard,Release,Key: space
1714303117417,Keyboard,Release,Key: s
1714303117551,Keyboard,Press,Key: w
1714303120267,Keyboard,Release,Key: w
1714303130699,Keyboard,Press,Key: w
1714303131152,Keyboard,Press,Key: shift
1714303131548,Keyboard,Press,Key: A
1714303132251,Keyboard,Release,Key: shift
1714303132477,Keyboard,Release,Key: w
1714303133903,Keyboard,Press,Key: w
1714303134607,Keyboard,Release,Key: w
1714303135111,Keyboard,Press,Key: w
1714303139055,Keyboard,Press,Key: d
1714303139734,Keyboard,Press,Key: shift
1714303140512,Keyboard,Press,Key: D
1714303140989,Keyboard,Release,Key: shift
1714303142903,Keyboard,Press,Key: shift
1714303146527,Keyboard,Release,Key: D
1714303147632,Keyboard,Press,Key: Q
1714303147707,Keyboard,Release,Key: Q
1714303148637,Keyboard,Press,Key: R
1714303148712,Keyboard,Release,Key: R
1714303150625,Keyboard,Release,Key: A
1714303152722,Keyboard,Press,Key: A
1714303153149,Keyboard,Release,Key: A
1714303154263,Keyboard,Press,Key: D
1714303154716,Keyboard,Release,Key: D
1714303155321,Keyboard,Release,Key: shift
1714303155329,Keyboard,Press,Key: a
1714303155390,Keyboard,Press,Key: shift
1714303156889,Keyboard,Release,Key: shift
1714303157123,Keyboard,Press,Key: shift
1714303160159,Keyboard,Press,Key: A
1714303160328,Keyboard,Release,Key: A
1714303160553,Keyboard,Press,Key: A
1714303161048,Keyboard,Release,Key: A
1714303161352,Keyboard,Press,Key: A
1714303161561,Keyboard,Release,Key: A
1714303162466,Keyboard,Press,Key: D
1714303162642,Keyboard,Release,Key: D
1714303163119,Keyboard,Press,Key: D
1714303164184,Keyboard,Release,Key: D
1714303164595,Keyboard,Press,Key: D
1714303164838,Keyboard,Release,Key: D
1714303165702,Keyboard,Press,Key: D
1714303165853,Keyboard,Release,Key: D
1714303166297,Keyboard,Press,Key: D
1714303166834,Keyboard,Release,Key: D
1714303167455,Keyboard,Release,Key: shift
1714303167731,Keyboard,Press,Key: shift
1714303169039,Keyboard,Press,Key: D
1714303170865,Keyboard,Release,Key: shift
1714303170907,Keyboard,Release,Key: d
1714303171277,Keyboard,Press,Key: d
1714303173423,Keyboard,Release,Key: d
1714303173758,Keyboard,Release,Key: w
1714303174354,Keyboard,Press,Key: e
1714303174448,Keyboard,Release,Key: e
1714303175125,Keyboard,Press,Key: e
1714303175225,Keyboard,Release,Key: e
1714303175661,Keyboard,Press,Key: d
1714303175879,Keyboard,Press,Key: s
1714303176123,Keyboard,Release,Key: s
1714303176431,Keyboard,Press,Key: w
1714303176736,Keyboard,Press,Key: shift
1714303179350,Keyboard,Release,Key: shift
1714303179367,Keyboard,Release,Key: d
1714303179534,Keyboard,Release,Key: w
1714303179751,Keyboard,Press,Key: e
1714303179869,Keyboard,Release,Key: e
1714303180582,Keyboard,Press,Key: w
1714303184513,Keyboard,Release,Key: a
1714303184781,Keyboard,Release,Key: w
1714303185201,Keyboard,Press,Key: w
1714303186131,Keyboard,Press,Key: a
1714303186231,Keyboard,Release,Key: a
1714303187095,Keyboard,Release,Key: w
1714303187296,Keyboard,Press,Key: a
1714303187364,Keyboard,Release,Key: a
1714303187563,Keyboard,Press,Key: w
1714303187857,Keyboard,Press,Key: d
1714303188193,Keyboard,Release,Key: d
1714303188560,Keyboard,Press,Key: space
1714303188639,Keyboard,Release,Key: space
1714303188729,Keyboard,Press,Key: space
1714303188847,Keyboard,Release,Key: space
1714303188880,Keyboard,Press,Key: space
1714303188989,Keyboard,Release,Key: space
1714303189040,Keyboard,Press,Key: space
1714303189224,Keyboard,Release,Key: space
1714303189249,Keyboard,Press,Key: space
1714303189466,Keyboard,Release,Key: space
1714303190120,Keyboard,Press,Key: shift
1714303190599,Keyboard,Release,Key: shift
1714303191001,Keyboard,Press,Key: d
1714303191537,Keyboard,Release,Key: w
1714303191605,Keyboard,Press,Key: w
1714303191730,Keyboard,Release,Key: w
1714303192318,Keyboard,Press,Key: s
1714303192334,Keyboard,Press,Key: space
1714303192351,Keyboard,Release,Key: s
1714303192408,Keyboard,Press,Key: s
1714303192425,Keyboard,Release,Key: space
1714303192510,Keyboard,Press,Key: space
1714303192594,Keyboard,Release,Key: space
1714303192786,Keyboard,Release,Key: d
1714303192844,Keyboard,Release,Key: s
1714303192971,Keyboard,Press,Key: w
1714303194814,Keyboard,Press,Key: a
1714303195025,Keyboard,Press,Key: space
1714303195116,Keyboard,Release,Key: space
1714303195158,Keyboard,Press,Key: space
1714303195243,Keyboard,Release,Key: space
1714303195251,Keyboard,Release,Key: w
1714303195292,Keyboard,Press,Key: w
1714303195301,Keyboard,Press,Key: space
1714303195376,Keyboard,Release,Key: space
1714303195443,Keyboard,Press,Key: space
1714303195504,Keyboard,Release,Key: space
1714303195562,Keyboard,Release,Key: w
1714303195678,Keyboard,Release,Key: a
1714303196247,Keyboard,Press,Key: q
1714303196364,Keyboard,Release,Key: q
1714303196634,Keyboard,Press,Key: q
1714303196716,Keyboard,Release,Key: q
1714303196885,Keyboard,Press,Key: w
1714303197155,Keyboard,Press,Key: shift
1714303197555,Keyboard,Release,Key: shift
1714303198988,Keyboard,Press,Key: a
1714303199852,Keyboard,Release,Key: a
1714303201714,Keyboard,Release,Key: w
1714303202837,Keyboard,Press,Key: s
1714303204513,Keyboard,Press,Key: d
1714303205042,Keyboard,Release,Key: s
1714303205067,Keyboard,Release,Key: d
1714303205752,Keyboard,Press,Key: w
1714303207287,Keyboard,Release,Key: w
1714303207480,Keyboard,Press,Key: e
1714303207596,Keyboard,Release,Key: e
1714303207991,Keyboard,Press,Key: e
1714303208092,Keyboard,Release,Key: e
1714303208208,Keyboard,Press,Key: e
1714303208300,Keyboard,Release,Key: e
1714303208401,Keyboard,Press,Key: e
1714303208492,Keyboard,Release,Key: e
1714303208593,Keyboard,Press,Key: e
1714303208669,Keyboard,Release,Key: e
1714303208797,Keyboard,Press,Key: e
1714303208879,Keyboard,Release,Key: e
1714303209014,Keyboard,Press,Key: e
1714303209079,Keyboard,Release,Key: e
1714303209517,Keyboard,Press,Key: e
1714303209608,Keyboard,Release,Key: e
1714303209734,Keyboard,Press,Key: e
1714303209843,Keyboard,Release,Key: e
1714303213220,Keyboard,Press,Key: space
1714303213296,Keyboard,Release,Key: space
1714303228365,Keyboard,Press,Key: i
1714303228432,Keyboard,Release,Key: i
1714303232121,Keyboard,Press,Key: r
1714303232204,Keyboard,Release,Key: r
1714303234553,Keyboard,Press,Key: r
1714303234628,Keyboard,Release,Key: r
1714303236607,Keyboard,Press,Key: r
1714303236683,Keyboard,Release,Key: r
1714303245596,Keyboard,Press,Key: esc
1714303245670,Keyboard,Release,Key: esc
1714303246458,Keyboard,Press,Key: esc
1714303246542,Keyboard,Release,Key: esc
1714303247338,Keyboard,Press,Key: w
1714303248806,Keyboard,Press,Key: a
1714303248931,Keyboard,Release,Key: w
1714303249425,Keyboard,Release,Key: a
1714303249586,Keyboard,Press,Key: d
1714303249745,Keyboard,Press,Key: w
1714303250450,Keyboard,Release,Key: d
1714303251556,Keyboard,Release,Key: w
1714303251615,Keyboard,Press,Key: w
1714303251632,Keyboard,Release,Key: w
1714303251832,Keyboard,Press,Key: e
1714303251926,Keyboard,Release,Key: e
1714303252277,Keyboard,Press,Key: w
1714303252528,Keyboard,Press,Key: shift
1714303253224,Keyboard,Press,Key: A
1714303253586,Keyboard,Release,Key: A
1714303256578,Keyboard,Press,Key: R
1714303256637,Keyboard,Release,Key: R
1714303256887,Keyboard,Release,Key: shift
1714303257660,Keyboard,Press,Key: d
1714303257894,Keyboard,Release,Key: d
1714303258288,Keyboard,Press,Key: shift
1714303260458,Keyboard,Release,Key: D
1714303263778,Keyboard,Release,Key: shift
