timestamp,action
00:00:00,start
00:00:19,walk_start
00:00:23,walk_end
00:00:24,fight_start
00:00:59,fight_end
00:01:00,walk_start
00:02:32,walk_end
00:02:33,conversation_start
00:06:22,conversation_end
00:06:23,loading_start
00:07:01,loading_end
00:07:02,conversation_start
00:07:39,conversation_end
00:07:40,walk_start
00:08:30,walk_end
00:08:31,conversation_start
00:11:20,conversation_end
00:11:21,walk_start
00:11:39,walk_end
00:11:40,conversation_start
00:12:54,conversation_end
00:12:58,fight_start
00:13:02,fight_end
00:13:04,walk_start
00:13:14,walk_end
00:13:15,fight_start
00:14:38,fight_end
00:14:39,conversation_start
00:16:5,conversation_end
00:16:16,fight_start
00:16:55,fight_end
00:16:56,conversation_start
00:18:38,conversation_end
00:18:39,horse_start
00:19:04,horse_end
00:19:05,conversation_start
00:19:14,conversation_end
00:19:15,fight_start
00:20:05,fight_end
00:20:06,conversation_start
00:20:50,conversation_end
00:20:51,walk_start
00:21:12,walk_end
00:21:13,conversation_start
00:21:29,conversation_end
00:21:31,fight_start
00:22:09,fight_end
00:22:10,conversation_start
00:22:22,conversation_end
00:22:23,fight_start
00:23:07,fight_end
00:23:08,conversation_start
00:24:30,conversation_end
00:24:31,fight_start
00:25:27,fight_end
00:25:28,conversation_start
00:25:52,conversation_end
00:25:53,fight_start
00:28:05,fight_end
00:28:06,conversation_start
00:32:04,conversation_end
