Time (ms),Device,Action,Details
1713544555618,Keyboard,Release,Key: e
1713544555920,Keyboard,Press,Key: e
1713544556004,Keyboard,Release,Key: e
1713544556087,Keyboard,Press,Key: e
1713544556163,Keyboard,Release,Key: e
1713544556239,Keyboard,Press,Key: e
1713544556306,Keyboard,Release,Key: e
1713544556392,Keyboard,Press,Key: e
1713544556451,Keyboard,Release,Key: e
1713544556550,Keyboard,Press,Key: e
1713544556592,Keyboard,Release,Key: e
1713544556676,Keyboard,Press,Key: e
1713544556717,Keyboard,Release,Key: e
1713544557221,Keyboard,Press,Key: w
1713544557945,Keyboard,Release,Key: w
1713544558447,Keyboard,Press,Key: i
1713544558505,Keyboard,Release,Key: i
1713544563893,Keyboard,Press,Key: r
1713544563969,Keyboard,Release,Key: r
1713544564530,Keyboard,Press,Key: r
1713544564623,Keyboard,Release,Key: r
1713544566620,Keyboard,Press,Key: r
1713544566687,Keyboard,Release,Key: r
1713544567728,Keyboard,Press,Key: esc
1713544567788,Keyboard,Release,Key: esc
1713544568726,Keyboard,Press,Key: esc
1713544568784,Keyboard,Release,Key: esc
1713544569792,Keyboard,Press,Key: e
1713544569877,Keyboard,Release,Key: e
1713544572434,Keyboard,Press,Key: esc
1713544572486,Keyboard,Release,Key: esc
1713544573140,Keyboard,Press,Key: w
1713544573635,Keyboard,Press,Key: shift
1713544575045,Keyboard,Press,Key: D
1713544575372,Keyboard,Release,Key: D
1713544577168,Keyboard,Release,Key: shift
1713544577219,Keyboard,Release,Key: w
1713544577336,Keyboard,Press,Key: e
1713544577412,Keyboard,Release,Key: e
1713544578276,Keyboard,Press,Key: m
1713544578328,Keyboard,Release,Key: m
1713544581482,Keyboard,Press,Key: esc
1713544581567,Keyboard,Release,Key: esc
1713544582238,Keyboard,Press,Key: esc
1713544582313,Keyboard,Release,Key: esc
1713544584890,Keyboard,Press,Key: a
1713544586509,Keyboard,Press,Key: w
1713544588044,Keyboard,Release,Key: a
1713544588397,Keyboard,Press,Key: shift
1713544588515,Keyboard,Release,Key: shift
1713544588615,Keyboard,Press,Key: shift
1713544598216,Keyboard,Release,Key: A
1713544598324,Keyboard,Press,Key: A
1713544598737,Keyboard,Release,Key: A
1713544599063,Keyboard,Press,Key: D
1713544599666,Keyboard,Release,Key: D
1713544601028,Keyboard,Press,Key: D
1713544601328,Keyboard,Release,Key: D
1713544602067,Keyboard,Press,Key: A
1713544602545,Keyboard,Release,Key: A
1713544603502,Keyboard,Press,Key: A
1713544603653,Keyboard,Release,Key: A
1713544605247,Keyboard,Press,Key: D
1713544605465,Keyboard,Release,Key: D
1713544606237,Keyboard,Press,Key: D
1713544606380,Keyboard,Release,Key: D
1713544606716,Keyboard,Press,Key: D
1713544606909,Keyboard,Release,Key: D
1713544607488,Keyboard,Release,Key: shift
1713544608814,Keyboard,Press,Key: shift
1713544608948,Keyboard,Release,Key: shift
1713544609032,Keyboard,Press,Key: shift
1713544615501,Keyboard,Release,Key: shift
1713544617499,Keyboard,Press,Key: a
1713544617877,Keyboard,Release,Key: a
1713544618489,Keyboard,Press,Key: d
1713544618668,Keyboard,Release,Key: d
1713544619237,Keyboard,Press,Key: shift
1713544619346,Keyboard,Release,Key: shift
1713544619430,Keyboard,Press,Key: shift
1713544621897,Keyboard,Press,Key: D
1713544622117,Keyboard,Release,Key: D
1713544623752,Keyboard,Press,Key: A
1713544624012,Keyboard,Release,Key: A
1713544625625,Keyboard,Press,Key: A
1713544626136,Keyboard,Release,Key: A
1713544626891,Keyboard,Press,Key: E
1713544626984,Keyboard,Release,Key: E
1713544627093,Keyboard,Release,Key: shift
1713544628077,Keyboard,Press,Key: shift
1713544629149,Keyboard,Press,Key: space
1713544629241,Keyboard,Release,Key: space
1713544629837,Keyboard,Release,Key: shift
1713544630441,Keyboard,Press,Key: shift
1713544630569,Keyboard,Release,Key: shift
1713544630651,Keyboard,Press,Key: shift
1713544631775,Keyboard,Press,Key: A
1713544631952,Keyboard,Release,Key: A
1713544632388,Keyboard,Press,Key: A
1713544632540,Keyboard,Release,Key: A
1713544633982,Keyboard,Release,Key: shift
1713544634099,Keyboard,Release,Key: w
1713544635231,Keyboard,Press,Key: w
1713544635483,Keyboard,Press,Key: d
1713544636271,Keyboard,Release,Key: d
1713544636792,Keyboard,Press,Key: d
1713544637941,Keyboard,Release,Key: d
1713544638637,Keyboard,Release,Key: w
1713544639191,Keyboard,Press,Key: e
1713544639963,Keyboard,Release,Key: e
1713544640004,Keyboard,Press,Key: w
1713544640558,Keyboard,Release,Key: w
1713544640650,Keyboard,Press,Key: e
1713544646953,Keyboard,Release,Key: e
1713544647759,Keyboard,Press,Key: e
1713544651753,Keyboard,Release,Key: e
1713544652273,Keyboard,Press,Key: w
1713544652367,Keyboard,Press,Key: a
1713544654877,Keyboard,Release,Key: a
1713544655338,Keyboard,Press,Key: shift
1713544656706,Keyboard,Press,Key: D
1713544656950,Keyboard,Release,Key: D
1713544658141,Keyboard,Press,Key: D
1713544659391,Keyboard,Release,Key: D
1713544659710,Keyboard,Release,Key: shift
1713544659794,Keyboard,Release,Key: w
1713544660172,Keyboard,Press,Key: m
1713544660214,Keyboard,Release,Key: m
1713544668948,Keyboard,Press,Key: esc
1713544669048,Keyboard,Release,Key: esc
1713544669705,Keyboard,Press,Key: esc
1713544669787,Keyboard,Release,Key: esc
1713544670249,Keyboard,Press,Key: w
1713544671039,Keyboard,Press,Key: d
1713544671289,Keyboard,Release,Key: d
1713544671457,Keyboard,Press,Key: shift
1713544673219,Keyboard,Press,Key: A
1713544673555,Keyboard,Release,Key: A
1713544676106,Keyboard,Release,Key: shift
1713544676584,Keyboard,Press,Key: tab
1713544677616,Keyboard,Release,Key: tab
1713544677877,Keyboard,Press,Key: q
1713544677959,Keyboard,Release,Key: q
1713544678790,Keyboard,Press,Key: shift
1713544679387,Keyboard,Press,Key: D
1713544679696,Keyboard,Release,Key: D
1713544680903,Keyboard,Press,Key: D
1713544681105,Keyboard,Release,Key: D
1713544681365,Keyboard,Press,Key: A
1713544681609,Keyboard,Release,Key: A
1713544682213,Keyboard,Release,Key: shift
1713544683537,Keyboard,Press,Key: a
1713544683680,Keyboard,Press,Key: space
1713544683740,Keyboard,Release,Key: space
1713544683823,Keyboard,Press,Key: space
1713544683898,Keyboard,Release,Key: space
1713544684009,Keyboard,Press,Key: space
1713544684092,Keyboard,Release,Key: space
1713544684267,Keyboard,Release,Key: a
1713544686591,Keyboard,Press,Key: space
1713544686691,Keyboard,Release,Key: space
1713544686758,Keyboard,Press,Key: space
1713544686851,Keyboard,Release,Key: space
1713544686918,Keyboard,Press,Key: space
1713544687002,Keyboard,Release,Key: space
1713544687170,Keyboard,Press,Key: d
1713544687540,Keyboard,Release,Key: w
1713544688739,Keyboard,Release,Key: d
1713544688807,Keyboard,Press,Key: q
1713544688908,Keyboard,Release,Key: q
1713544689228,Keyboard,Press,Key: w
1713544689872,Keyboard,Press,Key: shift
1713544690568,Keyboard,Release,Key: shift
1713544692121,Keyboard,Press,Key: d
1713544692179,Keyboard,Press,Key: space
1713544692330,Keyboard,Release,Key: space
1713544692406,Keyboard,Press,Key: space
1713544692506,Keyboard,Release,Key: space
1713544692582,Keyboard,Press,Key: space
1713544692675,Keyboard,Release,Key: space
1713544692768,Keyboard,Press,Key: space
1713544692817,Keyboard,Release,Key: space
1713544693085,Keyboard,Release,Key: d
1713544695636,Keyboard,Press,Key: d
1713544695645,Keyboard,Press,Key: space
1713544695779,Keyboard,Release,Key: space
1713544695862,Keyboard,Press,Key: space
1713544695904,Keyboard,Release,Key: space
1713544695982,Keyboard,Release,Key: d
1713544698910,Keyboard,Press,Key: a
1713544700494,Keyboard,Release,Key: a
1713544700736,Keyboard,Press,Key: space
1713544700829,Keyboard,Release,Key: space
1713544700922,Keyboard,Press,Key: space
1713544700997,Keyboard,Release,Key: space
1713544701098,Keyboard,Press,Key: space
1713544701141,Keyboard,Release,Key: space
1713544704563,Keyboard,Press,Key: r
1713544704630,Keyboard,Release,Key: r
1713544705092,Keyboard,Press,Key: shift
1713544709161,Keyboard,Press,Key: A
1713544709321,Keyboard,Release,Key: A
1713544710127,Keyboard,Press,Key: A
1713544711143,Keyboard,Release,Key: A
1713544711713,Keyboard,Press,Key: A
1713544712342,Keyboard,Release,Key: A
1713544712611,Keyboard,Press,Key: A
1713544713442,Keyboard,Release,Key: A
1713544713927,Keyboard,Press,Key: A
1713544714095,Keyboard,Release,Key: A
1713544714842,Keyboard,Press,Key: D
1713544715673,Keyboard,Release,Key: D
1713544716035,Keyboard,Press,Key: D
1713544719476,Keyboard,Release,Key: D
1713544719711,Keyboard,Release,Key: shift
1713544720466,Keyboard,Press,Key: d
1713544722230,Keyboard,Release,Key: d
1713544722640,Keyboard,Press,Key: a
1713544722875,Keyboard,Release,Key: w
1713544723952,Keyboard,Release,Key: a
1713544723952,Keyboard,Press,Key: w
1713544724169,Keyboard,Release,Key: w
1713544724783,Keyboard,Press,Key: w
1713544724933,Keyboard,Release,Key: w
1713544725093,Keyboard,Press,Key: e
1713544725211,Keyboard,Release,Key: e
1713544725386,Keyboard,Press,Key: e
1713544725461,Keyboard,Release,Key: e
1713544725538,Keyboard,Press,Key: e
1713544725613,Keyboard,Release,Key: e
1713544725681,Keyboard,Press,Key: e
1713544725757,Keyboard,Release,Key: e
1713544725806,Keyboard,Press,Key: e
1713544725865,Keyboard,Release,Key: e
1713544725990,Keyboard,Press,Key: w
1713544726184,Keyboard,Press,Key: d
1713544726336,Keyboard,Press,Key: shift
1713544727135,Keyboard,Release,Key: shift
1713544728426,Keyboard,Release,Key: d
1713544730524,Keyboard,Press,Key: shift
1713544731842,Keyboard,Release,Key: shift
1713544731867,Keyboard,Release,Key: w
1713544732303,Keyboard,Press,Key: v
1713544732379,Keyboard,Release,Key: v
1713544734193,Keyboard,Press,Key: w
1713544734436,Keyboard,Press,Key: shift
1713544736662,Keyboard,Release,Key: shift
1713544739246,Keyboard,Press,Key: a
1713544739464,Keyboard,Release,Key: a
1713544740420,Keyboard,Press,Key: c
