Time (ms),Device,Action,Details
1713543460173,Keyboard,Press,Key: w
1713543460636,Keyboard,Release,Key: w
1713543461038,Keyboard,Press,Key: e
1713543461164,Keyboard,Release,Key: e
1713543461440,Keyboard,Press,Key: w
1713543461752,Keyboard,Release,Key: w
1713543461868,Keyboard,Press,Key: e
1713543462012,Keyboard,Release,Key: e
1713543462254,Keyboard,Press,Key: e
1713543462388,Keyboard,Release,Key: e
1713543462463,Keyboard,Press,Key: e
1713543462607,Keyboard,Release,Key: e
1713543469006,Keyboard,Press,Key: w
1713543469274,Keyboard,Press,Key: shift
1713543470079,Keyboard,Press,Key: A
1713543470122,Keyboard,Release,Key: A
1713543472244,Keyboard,Press,Key: X
1713543472371,Keyboard,Release,Key: X
1713543472437,Keyboard,Release,Key: shift
1713543473069,Keyboard,Press,Key: m
1713543473143,Keyboard,Release,Key: m
1713543477790,Keyboard,Press,Key: esc
1713543477857,Keyboard,Release,Key: esc
1713543478939,Keyboard,Press,Key: esc
1713543478989,Keyboard,Release,Key: esc
1713543479820,Keyboard,Press,Key: shift
1713543481953,Keyboard,Press,Key: A
1713543482152,Keyboard,Release,Key: A
1713543482178,Keyboard,Press,Key: A
1713543482220,Keyboard,Release,Key: A
1713543482354,Keyboard,Release,Key: shift
1713543482472,Keyboard,Release,Key: w
1713543482521,Keyboard,Press,Key: e
1713543482606,Keyboard,Release,Key: e
1713543483302,Keyboard,Press,Key: w
1713543484175,Keyboard,Release,Key: w
1713543484268,Keyboard,Press,Key: e
1713543484361,Keyboard,Release,Key: e
1713543485123,Keyboard,Press,Key: w
1713543486760,Keyboard,Press,Key: shift
1713543486919,Keyboard,Release,Key: shift
1713543487003,Keyboard,Press,Key: shift
1713543488028,Keyboard,Press,Key: D
1713543488295,Keyboard,Release,Key: D
1713543488530,Keyboard,Press,Key: D
1713543488698,Keyboard,Release,Key: D
1713543489024,Keyboard,Press,Key: D
1713543489394,Keyboard,Release,Key: D
1713543489730,Keyboard,Release,Key: shift
1713543491039,Keyboard,Press,Key: shift
1713543491180,Keyboard,Release,Key: shift
1713543491274,Keyboard,Press,Key: shift
1713543492322,Keyboard,Press,Key: D
1713543492623,Keyboard,Release,Key: D
1713543493379,Keyboard,Press,Key: A
1713543493831,Keyboard,Release,Key: A
1713543494150,Keyboard,Press,Key: A
1713543494285,Keyboard,Release,Key: A
1713543495778,Keyboard,Release,Key: shift
1713543495903,Keyboard,Press,Key: shift
1713543498159,Keyboard,Press,Key: D
1713543499400,Keyboard,Release,Key: D
1713543499735,Keyboard,Press,Key: A
1713543499962,Keyboard,Release,Key: A
1713543500230,Keyboard,Press,Key: A
1713543500400,Keyboard,Release,Key: A
1713543501791,Keyboard,Press,Key: A
1713543501866,Keyboard,Release,Key: A
1713543502461,Keyboard,Press,Key: A
1713543502604,Keyboard,Release,Key: A
1713543514845,Keyboard,Release,Key: shift
1713543515960,Keyboard,Press,Key: shift
1713543516067,Keyboard,Release,Key: shift
1713543516168,Keyboard,Press,Key: shift
1713543516731,Keyboard,Press,Key: D
1713543516840,Keyboard,Release,Key: D
1713543517158,Keyboard,Press,Key: A
1713543517477,Keyboard,Release,Key: A
1713543518140,Keyboard,Release,Key: shift
1713543518165,Keyboard,Press,Key: shift
1713543518198,Keyboard,Release,Key: shift
1713543518418,Keyboard,Press,Key: shift
1713543518535,Keyboard,Release,Key: shift
1713543518635,Keyboard,Press,Key: shift
1713543535253,Keyboard,Press,Key: D
1713543535398,Keyboard,Release,Key: D
1713543536715,Keyboard,Press,Key: A
1713543536815,Keyboard,Release,Key: A
1713543538124,Keyboard,Press,Key: A
1713543538267,Keyboard,Release,Key: A
1713543538686,Keyboard,Press,Key: D
1713543538944,Keyboard,Release,Key: D
1713543539274,Keyboard,Press,Key: D
1713543539298,Keyboard,Release,Key: D
1713543542745,Keyboard,Press,Key: A
1713543542881,Keyboard,Release,Key: A
1713543543206,Keyboard,Press,Key: A
1713543543299,Keyboard,Release,Key: A
1713543544355,Keyboard,Press,Key: D
1713543544608,Keyboard,Release,Key: D
1713543545395,Keyboard,Press,Key: D
1713543545539,Keyboard,Release,Key: D
1713543546990,Keyboard,Press,Key: A
1713543547216,Keyboard,Release,Key: A
1713543548024,Keyboard,Press,Key: D
1713543548156,Keyboard,Release,Key: D
1713543549902,Keyboard,Press,Key: D
1713543549969,Keyboard,Press,Key: space
1713543550002,Keyboard,Release,Key: D
1713543550145,Keyboard,Release,Key: space
1713543550497,Keyboard,Press,Key: D
1713543550934,Keyboard,Release,Key: D
1713543552368,Keyboard,Release,Key: shift
1713543552587,Keyboard,Press,Key: shift
1713543552696,Keyboard,Release,Key: shift
1713543552771,Keyboard,Press,Key: shift
1713543553561,Keyboard,Press,Key: A
1713543553962,Keyboard,Release,Key: A
1713543554349,Keyboard,Press,Key: D
1713543554650,Keyboard,Release,Key: D
1713543555808,Keyboard,Release,Key: shift
1713543555959,Keyboard,Press,Key: shift
1713543556102,Keyboard,Press,Key: A
1713543556379,Keyboard,Release,Key: shift
1713543557335,Keyboard,Press,Key: shift
1713543557436,Keyboard,Release,Key: shift
1713543557511,Keyboard,Press,Key: shift
1713543558460,Keyboard,Press,Key: D
1713543558853,Keyboard,Release,Key: D
1713543559097,Keyboard,Press,Key: D
1713543559735,Keyboard,Release,Key: D
1713543560850,Keyboard,Release,Key: A
1713543560976,Keyboard,Release,Key: shift
1713543561329,Keyboard,Press,Key: e
1713543561420,Keyboard,Release,Key: e
1713543561915,Keyboard,Press,Key: shift
1713543564105,Keyboard,Press,Key: A
1713543564241,Keyboard,Release,Key: A
1713543564675,Keyboard,Press,Key: A
1713543564809,Keyboard,Release,Key: A
1713543565438,Keyboard,Press,Key: D
1713543565808,Keyboard,Release,Key: D
1713543565966,Keyboard,Press,Key: D
1713543566008,Keyboard,Release,Key: D
1713543566243,Keyboard,Press,Key: D
1713543566352,Keyboard,Release,Key: D
1713543566411,Keyboard,Release,Key: shift
1713543566930,Keyboard,Release,Key: w
1713543567124,Keyboard,Press,Key: e
1713543567208,Keyboard,Release,Key: e
1713543570662,Keyboard,Press,Key: space
1713543570754,Keyboard,Release,Key: space
1713543571114,Keyboard,Press,Key: space
1713543571190,Keyboard,Release,Key: space
1713543571601,Keyboard,Press,Key: space
1713543571686,Keyboard,Release,Key: space
1713543572204,Keyboard,Press,Key: space
1713543572296,Keyboard,Release,Key: space
1713543572884,Keyboard,Press,Key: s
1713543572959,Keyboard,Release,Key: s
1713543573051,Keyboard,Press,Key: s
1713543573118,Keyboard,Release,Key: s
1713543573353,Keyboard,Press,Key: e
1713543573420,Keyboard,Release,Key: e
1713543578268,Keyboard,Press,Key: space
1713543578368,Keyboard,Release,Key: space
1713543578846,Keyboard,Press,Key: space
1713543578947,Keyboard,Release,Key: space
1713543579334,Keyboard,Press,Key: space
1713543579400,Keyboard,Release,Key: space
1713543579711,Keyboard,Press,Key: space
1713543579769,Keyboard,Release,Key: space
1713543587874,Keyboard,Press,Key: right
1713543587975,Keyboard,Release,Key: right
1713543588158,Keyboard,Press,Key: right
1713543588259,Keyboard,Release,Key: right
1713543588443,Keyboard,Press,Key: right
1713543588544,Keyboard,Release,Key: right
1713543588720,Keyboard,Press,Key: right
1713543588846,Keyboard,Release,Key: right
1713543589013,Keyboard,Press,Key: right
1713543589122,Keyboard,Release,Key: right
1713543589315,Keyboard,Press,Key: right
1713543589441,Keyboard,Release,Key: right
1713543589660,Keyboard,Press,Key: right
1713543589760,Keyboard,Release,Key: right
1713543589987,Keyboard,Press,Key: right
1713543590106,Keyboard,Release,Key: right
1713543590306,Keyboard,Press,Key: right
1713543590398,Keyboard,Release,Key: right
1713543590718,Keyboard,Press,Key: left
1713543590802,Keyboard,Release,Key: left
1713543590926,Keyboard,Press,Key: left
1713543590985,Keyboard,Release,Key: left
1713543591404,Keyboard,Press,Key: left
1713543591488,Keyboard,Release,Key: left
1713543591648,Keyboard,Press,Key: left
1713543591732,Keyboard,Release,Key: left
1713543591824,Keyboard,Press,Key: left
1713543591908,Keyboard,Release,Key: left
1713543591993,Keyboard,Press,Key: left
1713543592067,Keyboard,Release,Key: left
1713543592429,Keyboard,Press,Key: left
1713543592529,Keyboard,Release,Key: left
1713543593377,Keyboard,Press,Key: space
1713543593471,Keyboard,Release,Key: space
1713543594476,Keyboard,Press,Key: right
1713543594610,Keyboard,Release,Key: right
1713543594828,Keyboard,Press,Key: right
1713543594938,Keyboard,Release,Key: right
1713543595006,Keyboard,Press,Key: right
1713543595089,Keyboard,Release,Key: right
1713543595508,Keyboard,Press,Key: right
1713543595559,Keyboard,Release,Key: right
1713543595776,Keyboard,Press,Key: left
1713543595860,Keyboard,Release,Key: left
1713543596113,Keyboard,Press,Key: space
1713543596188,Keyboard,Release,Key: space
1713543678602,Keyboard,Press,Key: space
1713543680060,Keyboard,Release,Key: space
1713543691495,Keyboard,Press,Key: left
1713543691596,Keyboard,Release,Key: left
1713543691898,Keyboard,Press,Key: space
1713543692007,Keyboard,Release,Key: space
1713543713579,Keyboard,Press,Key: left
1713543713664,Keyboard,Release,Key: left
1713543714024,Keyboard,Press,Key: space
1713543714108,Keyboard,Release,Key: space
1713543722680,Keyboard,Press,Key: space
1713543723577,Keyboard,Release,Key: space
1713543723746,Keyboard,Press,Key: space
1713543725129,Keyboard,Release,Key: space
1713543725238,Keyboard,Press,Key: space
1713543725340,Keyboard,Release,Key: space
1713543731110,Keyboard,Press,Key: right
1713543731244,Keyboard,Release,Key: right
1713543733308,Keyboard,Press,Key: space
1713543733416,Keyboard,Release,Key: space
1713543751785,Keyboard,Press,Key: space
1713543751877,Keyboard,Release,Key: space
1713543758436,Keyboard,Press,Key: a
1713543758916,Keyboard,Release,Key: a
1713543761912,Keyboard,Press,Key: left windows
1713543761955,Keyboard,Release,Key: left windows
1713543770584,Keyboard,Press,Key: w
1713543771104,Keyboard,Release,Key: w
1713543772278,Keyboard,Press,Key: w
1713543772614,Keyboard,Press,Key: shift
1713543773796,Keyboard,Press,Key: A
1713543773956,Keyboard,Release,Key: A
1713543775141,Keyboard,Press,Key: A
1713543775258,Keyboard,Release,Key: A
1713543775996,Keyboard,Press,Key: D
1713543776112,Keyboard,Release,Key: D
1713543777933,Keyboard,Press,Key: A
1713543778009,Keyboard,Release,Key: A
1713543778286,Keyboard,Press,Key: D
1713543778552,Keyboard,Release,Key: D
1713543778930,Keyboard,Press,Key: D
1713543779190,Keyboard,Release,Key: D
1713543779299,Keyboard,Press,Key: D
1713543780533,Keyboard,Release,Key: D
1713543781916,Keyboard,Release,Key: shift
1713543782160,Keyboard,Release,Key: w
1713543782461,Keyboard,Press,Key: e
1713543782562,Keyboard,Release,Key: e
1713543785633,Keyboard,Press,Key: space
1713543785718,Keyboard,Release,Key: space
1713543786110,Keyboard,Press,Key: space
1713543786178,Keyboard,Release,Key: space
1713543786782,Keyboard,Press,Key: space
1713543786874,Keyboard,Release,Key: space
1713543787084,Keyboard,Press,Key: space
1713543787176,Keyboard,Release,Key: space
1713543787504,Keyboard,Press,Key: space
1713543787589,Keyboard,Release,Key: space
1713543787663,Keyboard,Press,Key: space
1713543787749,Keyboard,Release,Key: space
1713543788190,Keyboard,Press,Key: space
