Time (ms),Device,Action,Details
1709642777160,Mouse,Move,"X: -110, Y: 58"
1709642777261,Mouse,Move,"X: -105, Y: 47"
1709642777361,Mouse,Move,"X: -105, Y: 39"
1709642777462,Mouse,Move,"X: -107, Y: 25"
1709642777562,Mouse,Move,"X: -107, Y: 24"
1709642777662,Mouse,Move,"X: -107, Y: 24"
1709642777762,Mouse,Move,"X: -107, Y: 24"
1709642777863,Mouse,Move,"X: -100, Y: 32"
1709642777964,Mouse,Move,"X: 236, Y: 65"
1709642778064,Mouse,Move,"X: 1124, Y: 89"
1709642778164,Mouse,Move,"X: 1193, Y: 123"
1709642778265,Mouse,Move,"X: 1193, Y: 123"
1709642778365,Mouse,Move,"X: 1193, Y: 123"
1709642778466,Mouse,Move,"X: 1198, Y: 121"
1709642778567,Mouse,Move,"X: 1205, Y: 117"
1709642778667,Mouse,Move,"X: 1211, Y: 117"
1709642778768,Mouse,Move,"X: 1287, Y: 122"
1709642778869,Mouse,Move,"X: 1373, Y: 124"
1709642778970,Mouse,Move,"X: 1477, Y: 108"
1709642779071,Mouse,Move,"X: 1653, Y: 65"
1709642779172,Mouse,Move,"X: 2101, Y: 0"
1709642779273,Mouse,Move,"X: 2345, Y: 7"
1709642779373,Mouse,Move,"X: 2359, Y: 8"
1709642779473,Mouse,Move,"X: 2428, Y: 12"
1709642779574,Mouse,Move,"X: 2458, Y: 8"
1709642779675,Mouse,Move,"X: 2458, Y: 8"
1709642779775,Mouse,Move,"X: 2458, Y: 8"
1709642779875,Mouse,Move,"X: 2458, Y: 8"
1709642779976,Mouse,Move,"X: 2458, Y: 8"
1709642780076,Mouse,Move,"X: 2263, Y: 113"
1709642780176,Mouse,Move,"X: 1661, Y: 311"
1709642780277,Mouse,Move,"X: 1661, Y: 311"
1709642780378,Mouse,Move,"X: 1276, Y: 108"
1709642780479,Mouse,Move,"X: 764, Y: 0"
1709642780580,Mouse,Move,"X: 611, Y: 29"
1709642780680,Mouse,Move,"X: 605, Y: 31"
1709642780781,Mouse,Move,"X: 602, Y: 24"
1709642780881,Mouse,Move,"X: 588, Y: 14"
