Time (ms),Device,Action,Details
1724587593761,Keyboard,Press,Key: w
1724587593945,Keyboard,Press,Key: shift
1724587595592,Keyboard,Press,Key: A
1724587595701,Keyboard,Release,Key: A
1724587596896,Keyboard,Press,Key: A
1724587597075,Keyboard,Release,Key: A
1724587597374,Keyboard,Press,Key: A
1724587597559,Keyboard,Release,Key: A
1724587597904,Keyboard,Release,Key: shift
1724587598132,Keyboard,Press,Key: space
1724587598251,Keyboard,Release,Key: space
1724587598334,Keyboard,Press,Key: space
1724587598444,Keyboard,Release,Key: space
1724587598704,Keyboard,Release,Key: w
1724587599377,Keyboard,Press,Key: s
1724587600368,Keyboard,Press,Key: space
1724587600520,Keyboard,Release,Key: space
1724587601470,Keyboard,Release,Key: s
1724587601748,Keyboard,Press,Key: d
1724587601958,Keyboard,Press,Key: w
1724587602445,Keyboard,Release,Key: d
1724587603227,Keyboard,Press,Key: a
1724587603683,Keyboard,Release,Key: a
1724587604345,Keyboard,Press,Key: shift
1724587605178,Keyboard,Release,Key: shift
1724587605362,Keyboard,Press,Key: space
1724587605462,Keyboard,Release,Key: space
1724587605505,Keyboard,Press,Key: space
1724587605614,Keyboard,Release,Key: space
1724587605657,Keyboard,Press,Key: space
1724587605697,Keyboard,Release,Key: space
1724587609623,Keyboard,Release,Key: w
1724587609732,Keyboard,Press,Key: s
1724587609767,Keyboard,Press,Key: space
1724587609892,Keyboard,Release,Key: space
1724587609968,Keyboard,Press,Key: space
1724587610077,Keyboard,Release,Key: space
1724587610508,Keyboard,Release,Key: s
1724587610791,Keyboard,Press,Key: tab
1724587611514,Keyboard,Release,Key: tab
1724587611724,Keyboard,Press,Key: q
1724587611818,Keyboard,Release,Key: q
1724587612371,Keyboard,Press,Key: d
1724587612396,Keyboard,Press,Key: space
1724587612557,Keyboard,Release,Key: space
1724587612623,Keyboard,Press,Key: space
1724587612724,Keyboard,Release,Key: space
1724587612799,Keyboard,Press,Key: space
1724587612833,Keyboard,Release,Key: space
1724587612968,Keyboard,Release,Key: d
1724587614380,Keyboard,Press,Key: w
1724587615541,Keyboard,Release,Key: w
1724587615977,Keyboard,Press,Key: d
