Time (ms),Device,Action,Details
1725111240847,Mouse,Move,"X: 452, Y: 678"
1725111240947,Mouse,Move,"X: 452, Y: 678"
1725111241048,Mouse,Move,"X: 452, Y: 678"
1725111241149,Mouse,Move,"X: 452, Y: 678"
1725111241250,Mouse,Move,"X: 452, Y: 678"
1725111241351,Mouse,Move,"X: 452, Y: 678"
1725111241452,Mouse,Move,"X: 452, Y: 678"
1725111241552,Mouse,Move,"X: 467, Y: 682"
1725111241653,Mouse,Move,"X: 486, Y: 689"
1725111241753,Mouse,Move,"X: 522, Y: 693"
1725111241854,Mouse,Move,"X: 569, Y: 693"
1725111241954,Mouse,Move,"X: 569, Y: 693"
1725111242055,Mouse,Move,"X: 569, Y: 693"
1725111242156,Mouse,Move,"X: 569, Y: 693"
1725111242256,Mouse,Move,"X: 569, Y: 693"
1725111242357,Mouse,Move,"X: 569, Y: 693"
1725111242457,Mouse,Move,"X: 583, Y: 691"
1725111242557,Mouse,Move,"X: 623, Y: 686"
1725111242658,Mouse,Move,"X: 631, Y: 695"
1725111242758,Mouse,Move,"X: 631, Y: 695"
1725111242859,Mouse,Move,"X: 631, Y: 695"
1725111242960,Mouse,Move,"X: 657, Y: 674"
1725111243061,Mouse,Move,"X: 657, Y: 674"
1725111243162,Mouse,Move,"X: 657, Y: 673"
1725111243262,Mouse,Move,"X: 657, Y: 673"
1725111243363,Mouse,Move,"X: 657, Y: 673"
1725111243463,Mouse,Move,"X: 678, Y: 666"
1725111243564,Mouse,Move,"X: 682, Y: 666"
1725111243665,Mouse,Move,"X: 699, Y: 665"
1725111243765,Mouse,Move,"X: 700, Y: 665"
1725111243866,Mouse,Move,"X: 700, Y: 665"
1725111243967,Mouse,Move,"X: 700, Y: 665"
1725111244067,Mouse,Move,"X: 700, Y: 665"
1725111244168,Mouse,Move,"X: 692, Y: 663"
1725111244269,Mouse,Move,"X: 691, Y: 663"
1725111244369,Mouse,Move,"X: 691, Y: 663"
1725111244469,Mouse,Move,"X: 660, Y: 666"
1725111244570,Mouse,Move,"X: 577, Y: 671"
1725111244670,Mouse,Move,"X: 446, Y: 671"
1725111244771,Mouse,Move,"X: 431, Y: 669"
1725111244871,Mouse,Move,"X: 431, Y: 669"
1725111244971,Mouse,Move,"X: 431, Y: 669"
1725111245072,Mouse,Move,"X: 431, Y: 669"
1725111245172,Mouse,Move,"X: 492, Y: 680"
1725111245273,Mouse,Move,"X: 628, Y: 685"
1725111245374,Mouse,Move,"X: 724, Y: 684"
1725111245475,Mouse,Move,"X: 788, Y: 683"
