Time (ms),Device,Action,Details
1714302791794,Mouse,Move,"X: -1096, Y: 58"
1714302791895,Mouse,Move,"X: -1096, Y: 58"
1714302791996,Mouse,Move,"X: -1096, Y: 58"
1714302792096,Mouse,Move,"X: -1096, Y: 58"
1714302792196,Mouse,Move,"X: -1096, Y: 58"
1714302792296,Mouse,Move,"X: -1096, Y: 58"
1714302792396,Mouse,Move,"X: -1096, Y: 58"
1714302792497,Mouse,Move,"X: -1096, Y: 58"
1714302792597,Mouse,Move,"X: -1300, Y: 631"
1714302792697,Mouse,Move,"X: -1430, Y: 934"
1714302792798,Mouse,Move,"X: -1413, Y: 967"
1714302792899,Mouse,Move,"X: -1412, Y: 1035"
1714302793000,Mouse,Move,"X: -1411, Y: 1035"
1714302793100,Mouse,Move,"X: -1410, Y: 1035"
1714302793200,Mouse,Move,"X: -1397, Y: 1019"
1714302793301,Mouse,Move,"X: -1385, Y: 1002"
1714302793401,Mouse,Move,"X: -1382, Y: 996"
1714302793502,Mouse,Move,"X: -1379, Y: 991"
1714302793602,Mouse,Move,"X: -1379, Y: 990"
1714302793702,Mouse,Move,"X: -1379, Y: 990"
1714302793803,Mouse,Move,"X: -1379, Y: 989"
1714302793904,Mouse,Move,"X: -1379, Y: 989"
1714302794004,Mouse,Move,"X: -1379, Y: 989"
1714302794008,Mouse,Click,Left
1714302794104,Mouse,Move,"X: -1379, Y: 989"
1714302794205,Mouse,Move,"X: -1379, Y: 989"
1714302794305,Mouse,Move,"X: -1379, Y: 989"
1714302794406,Mouse,Move,"X: -1379, Y: 989"
1714302794506,Mouse,Move,"X: -1379, Y: 989"
1714302794606,Mouse,Move,"X: -1379, Y: 989"
1714302794706,Mouse,Move,"X: -1379, Y: 989"
1714302794807,Mouse,Move,"X: -1379, Y: 989"
1714302794908,Mouse,Move,"X: -1379, Y: 989"
1714302795008,Mouse,Move,"X: -1379, Y: 989"
1714302795109,Mouse,Move,"X: -1379, Y: 989"
1714302795210,Mouse,Move,"X: -1379, Y: 989"
1714302795310,Mouse,Move,"X: -1379, Y: 989"
1714302795410,Mouse,Move,"X: -1379, Y: 989"
1714302795511,Mouse,Move,"X: -1379, Y: 989"
1714302795612,Mouse,Move,"X: -1379, Y: 989"
1714302795712,Mouse,Move,"X: -1379, Y: 989"
1714302795812,Mouse,Move,"X: -1379, Y: 989"
1714302795912,Mouse,Move,"X: -1379, Y: 989"
1714302796012,Mouse,Move,"X: -1379, Y: 989"
1714302796112,Mouse,Move,"X: -1379, Y: 989"
1714302796213,Mouse,Move,"X: -1379, Y: 989"
1714302796313,Mouse,Move,"X: -1379, Y: 989"
1714302796414,Mouse,Move,"X: -1379, Y: 989"
1714302796514,Mouse,Move,"X: -1379, Y: 989"
1714302796614,Mouse,Move,"X: -1379, Y: 989"
1714302796715,Mouse,Move,"X: -1380, Y: 989"
1714302796815,Mouse,Move,"X: -1380, Y: 989"
1714302796916,Mouse,Move,"X: -1380, Y: 989"
1714302797017,Mouse,Move,"X: -1380, Y: 989"
1714302797118,Mouse,Move,"X: -1380, Y: 989"
1714302797218,Mouse,Move,"X: -1380, Y: 989"
1714302797319,Mouse,Move,"X: -1380, Y: 989"
1714302797419,Mouse,Move,"X: -1380, Y: 989"
1714302797519,Mouse,Move,"X: -1380, Y: 989"
1714302797620,Mouse,Move,"X: -1380, Y: 989"
1714302797720,Mouse,Move,"X: -1380, Y: 989"
1714302797821,Mouse,Move,"X: -1380, Y: 989"
1714302797921,Mouse,Move,"X: -1380, Y: 989"
1714302798022,Mouse,Move,"X: -1380, Y: 989"
1714302798123,Mouse,Move,"X: -1380, Y: 989"
1714302798223,Mouse,Move,"X: -1380, Y: 989"
1714302798323,Mouse,Move,"X: -1380, Y: 989"
1714302798424,Mouse,Move,"X: -1380, Y: 989"
1714302798525,Mouse,Move,"X: -1380, Y: 989"
1714302798625,Mouse,Move,"X: -1380, Y: 989"
1714302798726,Mouse,Move,"X: -1380, Y: 989"
1714302798827,Mouse,Move,"X: -1392, Y: 957"
1714302798928,Mouse,Move,"X: -1407, Y: 934"
1714302799029,Mouse,Move,"X: -1484, Y: 855"
1714302799130,Mouse,Move,"X: -1414, Y: 803"
1714302799230,Mouse,Move,"X: -1319, Y: 761"
