Time (ms),Device,Action,Details
1747931671448,Keyboard,Press,Key: alt
1747931672154,Keyboard,Release,Key: alt
1747931672766,Keyboard,Press,Key: alt
1747931673052,Keyboard,Press,Key: z
1747931673161,Keyboard,Release,Key: z
1747931673203,Keyboard,Release,Key: alt
1747931759270,Keyboard,Press,Key: shift
1747931759790,Keyboard,Release,Key: shift
1747931760268,Keyboard,Press,Key: shift
1747931760664,Keyboard,Release,Key: shift
1747931763202,Keyboard,Press,Key: z
1747931763350,Keyboard,Release,Key: z
1747931763719,Keyboard,Press,Key: x
1747931763846,Keyboard,Release,Key: x
1747931764089,Keyboard,Press,Key: c
1747931764208,Keyboard,Release,Key: c
1747931764946,Keyboard,Press,Key: c
1747931765030,Keyboard,Release,Key: c
1747931767205,Keyboard,Press,Key: caps lock
1747931767617,Keyboard,Release,Key: caps lock
1747931768272,Keyboard,Press,Key: tab
1747931768523,Keyboard,Release,Key: tab
1747931769683,Keyboard,Press,Key: ctrl
1747931769885,Keyboard,Release,Key: ctrl
1747931771110,Keyboard,Press,Key: c
1747931771177,Keyboard,Release,Key: c
1747931776375,Keyboard,Press,Key: m
1747931776418,Keyboard,Release,Key: m
1747931847677,Keyboard,Press,Key: w
1747931848642,Keyboard,Press,Key: shift
1747931849070,Keyboard,Press,Key: d
1747931849222,Keyboard,Release,Key: d
1747931849617,Keyboard,Press,Key: d
1747931849727,Keyboard,Release,Key: d
1747931850163,Keyboard,Release,Key: shift
1747931850583,Keyboard,Press,Key: a
1747931850726,Keyboard,Release,Key: a
1747931850927,Keyboard,Release,Key: w
1747931851565,Keyboard,Press,Key: d
1747931851608,Keyboard,Press,Key: w
1747931851921,Keyboard,Release,Key: d
1747931851986,Keyboard,Release,Key: w
1747931852852,Keyboard,Press,Key: w
1747931852969,Keyboard,Release,Key: w
1747931854968,Keyboard,Press,Key: d
1747931855246,Keyboard,Press,Key: w
1747931855817,Keyboard,Release,Key: d
1747931856051,Keyboard,Release,Key: w
1747931856867,Keyboard,Press,Key: a
1747931857824,Keyboard,Release,Key: a
1747931858739,Keyboard,Press,Key: a
1747931858798,Keyboard,Press,Key: w
1747931858906,Keyboard,Release,Key: w
1747931859637,Keyboard,Release,Key: a
1747931859721,Keyboard,Press,Key: w
1747931860410,Keyboard,Press,Key: shift
1747931861644,Keyboard,Release,Key: shift
1747931862073,Keyboard,Release,Key: w
1747931862098,Keyboard,Press,Key: c
1747931862182,Keyboard,Release,Key: c
1747931863452,Keyboard,Press,Key: a
1747931863510,Keyboard,Release,Key: a
1747931865104,Keyboard,Press,Key: shift
1747931865516,Keyboard,Release,Key: shift
1747931866833,Keyboard,Press,Key: t
1747931866902,Keyboard,Release,Key: t
1747931867472,Keyboard,Press,Key: y
1747931867555,Keyboard,Release,Key: y
1747931867833,Keyboard,Press,Key: u
1747931867925,Keyboard,Release,Key: u
1747931868286,Keyboard,Press,Key: i
1747931868387,Keyboard,Release,Key: i
1747931872040,Keyboard,Press,Key: o
1747931872065,Keyboard,Release,Key: o
1747931874433,Keyboard,Press,Key: l
1747931874502,Keyboard,Release,Key: l
1747931874745,Keyboard,Press,Key: k
1747931874836,Keyboard,Release,Key: k
1747931875123,Keyboard,Press,Key: j
