Time (ms),Device,Action,Details
1747483263106,Mouse,Move,"X: 1549, Y: 1250"
1747483263208,Mouse,Move,"X: 1549, Y: 1250"
1747483263308,Mouse,Move,"X: 1549, Y: 1250"
1747483263408,Mouse,Move,"X: 1549, Y: 1250"
1747483263509,Mouse,Move,"X: 1549, Y: 1250"
1747483263609,Mouse,Move,"X: 1549, Y: 1250"
1747483263709,Mouse,Move,"X: 1549, Y: 1250"
1747483263809,Mouse,Move,"X: 1549, Y: 1250"
1747483263909,Mouse,Move,"X: 1549, Y: 1250"
1747483264009,Mouse,Move,"X: 1549, Y: 1250"
1747483264110,Mouse,Move,"X: 1549, Y: 1250"
1747483264210,Mouse,Move,"X: 1549, Y: 1250"
1747483264310,Mouse,Move,"X: 1549, Y: 1250"
1747483264410,Mouse,Move,"X: 1549, Y: 1250"
1747483264511,Mouse,Move,"X: 1549, Y: 1250"
1747483264611,Mouse,Move,"X: 1549, Y: 1250"
1747483264711,Mouse,Move,"X: 1549, Y: 1250"
1747483264812,Mouse,Move,"X: 1549, Y: 1250"
1747483264912,Mouse,Move,"X: 1549, Y: 1250"
1747483265012,Mouse,Move,"X: 1549, Y: 1250"
1747483265112,Mouse,Move,"X: 1549, Y: 1250"
1747483265213,Mouse,Move,"X: 1549, Y: 1250"
1747483265313,Mouse,Move,"X: 1549, Y: 1250"
1747483265413,Mouse,Move,"X: 1549, Y: 1250"
1747483265513,Mouse,Move,"X: 1549, Y: 1250"
1747483265613,Mouse,Move,"X: 1549, Y: 1250"
1747483265714,Mouse,Move,"X: 1549, Y: 1250"
1747483265814,Mouse,Move,"X: 1549, Y: 1250"
1747483265915,Mouse,Move,"X: 1549, Y: 1250"
1747483266015,Mouse,Move,"X: 1549, Y: 1250"
1747483266115,Mouse,Move,"X: 1549, Y: 1250"
1747483266216,Mouse,Move,"X: 1549, Y: 1250"
1747483266316,Mouse,Move,"X: 1549, Y: 1250"
1747483266417,Mouse,Move,"X: 1549, Y: 1250"
1747483266517,Mouse,Move,"X: 1549, Y: 1250"
1747483266618,Mouse,Move,"X: 1549, Y: 1250"
1747483266718,Mouse,Move,"X: 1549, Y: 1250"
1747483266818,Mouse,Move,"X: 1549, Y: 1250"
1747483266919,Mouse,Move,"X: 1549, Y: 1250"
