Time (ms),Device,Action,Details
1747931666720,Mouse,Move,"X: 1489, Y: 1235"
1747931666821,Mouse,Move,"X: 1489, Y: 1235"
1747931666921,Mouse,Move,"X: 1821, Y: 1077"
1747931667021,Mouse,Move,"X: 2598, Y: 819"
1747931667122,Mouse,Move,"X: 2598, Y: 812"
1747931667222,Mouse,Move,"X: 2572, Y: 800"
1747931667322,Mouse,Move,"X: 2451, Y: 784"
1747931667422,Mouse,Move,"X: 2349, Y: 782"
1747931667523,Mouse,Move,"X: 2320, Y: 799"
1747931667623,Mouse,Move,"X: 2320, Y: 799"
1747931667723,Mouse,Move,"X: 2320, Y: 799"
1747931667824,Mouse,Move,"X: 2320, Y: 799"
1747931667924,Mouse,Move,"X: 2320, Y: 799"
1747931668025,Mouse,Move,"X: 2320, Y: 799"
1747931668125,Mouse,Move,"X: 2320, Y: 799"
1747931668226,Mouse,Move,"X: 2320, Y: 799"
1747931668326,Mouse,Move,"X: 2320, Y: 799"
1747931668427,Mouse,Move,"X: 2320, Y: 799"
1747931668527,Mouse,Move,"X: 2320, Y: 799"
1747931668627,Mouse,Move,"X: 2320, Y: 799"
1747931668728,Mouse,Move,"X: 2320, Y: 799"
1747931668828,Mouse,Move,"X: 2320, Y: 799"
1747931668929,Mouse,Move,"X: 2320, Y: 799"
1747931669029,Mouse,Move,"X: 2320, Y: 799"
1747931669129,Mouse,Move,"X: 2320, Y: 799"
1747931669207,Mouse,Click,Left
1747931669230,Mouse,Move,"X: 2320, Y: 799"
1747931669330,Mouse,Move,"X: 2320, Y: 799"
1747931669430,Mouse,Move,"X: 2257, Y: 782"
1747931669531,Mouse,Move,"X: 2161, Y: 783"
1747931669631,Mouse,Move,"X: 2161, Y: 783"
1747931669731,Mouse,Move,"X: 2161, Y: 783"
1747931669832,Mouse,Move,"X: 2161, Y: 783"
1747931669932,Mouse,Move,"X: 2161, Y: 783"
1747931670032,Mouse,Move,"X: 2161, Y: 783"
1747931670133,Mouse,Move,"X: 2161, Y: 783"
1747931670233,Mouse,Move,"X: 2160, Y: 783"
1747931670333,Mouse,Move,"X: 2158, Y: 783"
1747931670434,Mouse,Move,"X: 2157, Y: 783"
1747931670534,Mouse,Move,"X: 2157, Y: 783"
1747931670635,Mouse,Move,"X: 2156, Y: 783"
1747931670735,Mouse,Move,"X: 2155, Y: 783"
1747931670835,Mouse,Move,"X: 2153, Y: 782"
1747931670936,Mouse,Move,"X: 2152, Y: 782"
1747931671036,Mouse,Move,"X: 2152, Y: 781"
1747931671136,Mouse,Move,"X: 2151, Y: 781"
1747931671236,Mouse,Move,"X: 2151, Y: 781"
1747931671337,Mouse,Move,"X: 2151, Y: 781"
1747931671437,Mouse,Move,"X: 2151, Y: 781"
1747931671537,Mouse,Move,"X: 2151, Y: 781"
1747931671637,Mouse,Move,"X: 2151, Y: 781"
1747931671738,Mouse,Move,"X: 2151, Y: 781"
1747931671838,Mouse,Move,"X: 2151, Y: 781"
1747931671938,Mouse,Move,"X: 2151, Y: 781"
1747931672039,Mouse,Move,"X: 2151, Y: 781"
1747931672139,Mouse,Move,"X: 2151, Y: 781"
1747931672240,Mouse,Move,"X: 2151, Y: 781"
1747931672340,Mouse,Move,"X: 2151, Y: 781"
1747931672440,Mouse,Move,"X: 2151, Y: 781"
1747931672540,Mouse,Move,"X: 2151, Y: 781"
1747931672641,Mouse,Move,"X: 2151, Y: 781"
1747931672741,Mouse,Move,"X: 2151, Y: 781"
1747931672841,Mouse,Move,"X: 2151, Y: 781"
1747931672942,Mouse,Move,"X: 2151, Y: 781"
1747931673042,Mouse,Move,"X: 2151, Y: 781"
1747931673142,Mouse,Move,"X: 2151, Y: 781"
1747931673243,Mouse,Move,"X: 2151, Y: 781"
1747931673343,Mouse,Move,"X: 2151, Y: 781"
1747931673444,Mouse,Move,"X: 2151, Y: 781"
1747931673544,Mouse,Move,"X: 2151, Y: 781"
1747931673644,Mouse,Move,"X: 2151, Y: 781"
1747931673745,Mouse,Move,"X: 2151, Y: 781"
1747931673845,Mouse,Move,"X: 2151, Y: 781"
1747931673945,Mouse,Move,"X: 2151, Y: 781"
1747931674046,Mouse,Move,"X: 2151, Y: 781"
1747931674146,Mouse,Move,"X: 2151, Y: 781"
1747931674247,Mouse,Move,"X: 2151, Y: 781"
1747931674347,Mouse,Move,"X: 2151, Y: 781"
1747931674447,Mouse,Move,"X: 2151, Y: 781"
1747931674547,Mouse,Move,"X: 2151, Y: 781"
1747931674648,Mouse,Move,"X: 2151, Y: 781"
1747931674748,Mouse,Move,"X: 2151, Y: 781"
1747931674849,Mouse,Move,"X: 2151, Y: 781"
1747931674949,Mouse,Move,"X: 2151, Y: 781"
1747931675050,Mouse,Move,"X: 2151, Y: 781"
1747931675150,Mouse,Move,"X: 2151, Y: 781"
1747931675251,Mouse,Move,"X: 2151, Y: 781"
1747931675351,Mouse,Move,"X: 2151, Y: 781"
1747931675451,Mouse,Move,"X: 2151, Y: 781"
1747931675552,Mouse,Move,"X: 2151, Y: 781"
1747931675652,Mouse,Move,"X: 2151, Y: 781"
1747931675752,Mouse,Move,"X: 2151, Y: 781"
1747931675852,Mouse,Move,"X: 2151, Y: 781"
1747931675953,Mouse,Move,"X: 2151, Y: 781"
1747931676053,Mouse,Move,"X: 2151, Y: 781"
1747931676154,Mouse,Move,"X: 2151, Y: 781"
1747931676254,Mouse,Move,"X: 2151, Y: 781"
1747931676354,Mouse,Move,"X: 2151, Y: 781"
1747931676455,Mouse,Move,"X: 2151, Y: 781"
1747931676556,Mouse,Move,"X: 2151, Y: 781"
1747931676656,Mouse,Move,"X: 2151, Y: 781"
1747931676756,Mouse,Move,"X: 2151, Y: 781"
1747931676857,Mouse,Move,"X: 2151, Y: 781"
1747931676957,Mouse,Move,"X: 2151, Y: 781"
1747931677057,Mouse,Move,"X: 2151, Y: 781"
1747931677158,Mouse,Move,"X: 2151, Y: 781"
1747931677258,Mouse,Move,"X: 2151, Y: 781"
1747931677358,Mouse,Move,"X: 2151, Y: 781"
1747931677459,Mouse,Move,"X: 2151, Y: 781"
1747931677559,Mouse,Move,"X: 2151, Y: 781"
1747931677659,Mouse,Move,"X: 2151, Y: 781"
1747931677760,Mouse,Move,"X: 2151, Y: 781"
1747931677860,Mouse,Move,"X: 2151, Y: 781"
1747931677960,Mouse,Move,"X: 2151, Y: 781"
1747931678060,Mouse,Move,"X: 2151, Y: 781"
1747931678161,Mouse,Move,"X: 2151, Y: 781"
1747931678262,Mouse,Move,"X: 2150, Y: 781"
1747931678362,Mouse,Move,"X: 2073, Y: 835"
1747931678462,Mouse,Move,"X: 318, Y: 1439"
1747931678562,Mouse,Move,"X: 0, Y: 1437"
1747931678662,Mouse,Move,"X: 13, Y: 1413"
1747931678763,Mouse,Move,"X: 13, Y: 1413"
1747931678863,Mouse,Move,"X: 0, Y: 1439"
1747931678963,Mouse,Move,"X: 0, Y: 1333"
1747931679064,Mouse,Move,"X: 110, Y: 1032"
1747931679165,Mouse,Move,"X: 425, Y: 841"
1747931679265,Mouse,Move,"X: 993, Y: 881"
1747931679365,Mouse,Move,"X: 1369, Y: 915"
1747931679466,Mouse,Move,"X: 1369, Y: 915"
1747931679567,Mouse,Move,"X: 1276, Y: 799"
1747931679667,Mouse,Move,"X: 1637, Y: 450"
