timestamp,action
00:00:00,start
00:01:13,finding_game
00:02:02,character_select
00:02:24,match_start
00:02:24,round_start
00:03:14,kill
00:03:18,death
00:03:30,respawn
00:03:44,kill
00:03:52,kill
00:03:59,kill
00:04:19,kill
00:04:45,kill
00:04:55,kill
00:05:25,kill
00:05:27,perk_activation
00:05:30,kill
00:05:31,kill
00:05:50,kill
00:06:02,kill
00:06:04,kill
00:06:18,death
00:06:29,respawn
00:06:52,kill
00:07:14,kill
00:07:22,kill
00:07:46,perk_activation
00:07:49,kill
00:07:57,death
00:08:56,kill
00:08:57,kill
00:09:07,kill
00:09:38,death
00:09:48,respawn
00:09:55,death
00:10:05,respawn
00:10:16,kill
00:10:21,kill
00:10:38,kill
00:11:00,death
00:11:01,kill
00:11:10,respawn
00:11:23,kill
00:11:29,kill
00:11:38,kill
00:11:49,kill
00:11:54,round_end
00:11:54,match_end
00:12:26,finding_game
00:13:57,character_select
00:14:17,match_start
00:14:17,round_start
00:16:00,kill
00:16:12,kill
00:16:35,kill
00:16:46,kill
00:16:57,death
00:17:07,respawn
00:17:28,kill
00:17:39,kill
00:17:43,death
00:17:53,respawn
00:18:30,kill
00:18:37,kill
00:19:12,death
00:19:22,respawn
00:19:51,kill
00:20:02,perk_activation
00:20:04,kill
00:20:05,kill
00:20:12,round_end
00:20:12,match_end
00:20:43,finding_game
00:21:31,character_select
00:22:57,kill
00:22:57,death
00:23:07,respawn
00:23:20,kill
00:23:31,death
00:23:41,respawn
00:24:02,kill
00:24:07,kill
00:24:17,kill
00:24:36,kill
00:24:58,kill
00:25:04,kill
00:25:09,kill
00:25:14,kill
00:25:43,kill
00:26:00,perk_activation
00:26:01,kill
00:26:04,kill
00:26:05,kill
00:26:12,kill
00:26:29,kill
00:26:45,kill
00:26:53,round_end
00:26:53,match_end
00:27:25,finding_game
00:28:20,character_select
00:28:42,match_start
00:28:42,round_start
00:29:29,kill
00:30:07,death
00:30:17,respawn
00:31:01,kill
00:32:07,kill
00:33:00,death
00:33:10,respawn
00:33:37,kill
00:33:54,kill
00:34:01,kill
00:34:28,death
00:34:38,respawn
00:35:00,kill
00:35:17,kill
00:35:35,kill
00:35:42,perk_activation
00:35:43,kill
00:36:03,death
00:36:16,respawn
00:36:24,kill
00:36:29,kill
00:36:38,kill
00:36:51,kill
00:36:55,death
00:37:06,respawn
00:37:33,kill
00:37:53,death
00:38:06,respawn
00:38:13,perk_activation
00:38:15,kill
00:38:25,kill
00:38:43,kill
00:38:58,death
00:39:10,respawn
00:39:23,death
00:39:27,round_end
00:39:27,match_end
00:40:00,finding_game
00:41:38,character_select
00:42:09,round_end
00:42:09,match_end
00:42:59,kill
00:43:25,death
00:43:35,respawn
00:43:50,kill
00:44:07,kill
00:44:14,kill
00:44:40,kill
00:44:49,kill
00:44:56,kill
00:45:10,kill
00:45:20,perk_activation
00:45:23,kill
00:45:29,death
00:45:41,respawn
00:46:10,death
00:46:15,revived
00:46:48,kill
00:46:56,death
00:46:05,respawn
00:47:22,kill
00:47:44,kill
00:48:14,death
00:48:26,respawn
00:48:50,death
00:49:00,respawn
00:49:18,kill
00:49:40,death
00:49:50,respawn
00:50:06,kill
00:50:15,kill
00:50:28,death
00:50:35,round_end
00:39:35,match_end






















